| reference | activation function | notes |
|-----------|---------------------|-------|
| 1 | N/A | Not a PINN paper |
| 2 | tanh, sigmoid, exponential | Mentioned |
| 3 | N/A | Review paper |
| 4 | tanh, GELU | Mentioned |
| 5 | N/A | Not a PINN paper |
| 6 | N/A | Not a PINN paper |
| 7 | tansig (tanh) | Mentioned |
| 8 | tanh | Mentioned |
| 9 | N/A | Review paper |
| 10 | N/A | Review paper |
| 11 | tanh, ReLU, sigmoid, sin, Swish, ELU | Mentioned |
| 12 | tansig (tanh) | Mentioned |
| 13 | tanh | Mentioned |
| 14 | sigmoid, tanh (LSTM gates) | Mentioned |
| 15 | ReLU | Mentioned |
| 16 | tanh, sigmoid (LSTM) | Mentioned |
| 17 | N/A | Review paper |
| 18 | ReLU | Mentioned |
| 19 | N/A | Not a PINN paper |
| 20 | N/A | Not a PINN paper |
| 21 | N/A | Review paper |
| 22 | tanh, ReLU | Mentioned |
| 23 | N/A | Review paper |
| 24 | N/A | Not explicitly stated |
| 25 | N/A | Not explicitly stated |
| 26 | ReLU | Mentioned |
| 27 | ReLU, tanh, sigmoid | Mentioned |
| 28 | ReLU, sigmoid | Mentioned |
| 29 | N/A | Review paper |
| 30 | tanh | Mentioned |
| 31 | tanh | Mentioned |
| 32 | tanh, sigmoid | Mentioned |
| 33 | tanh | Mentioned |
| 34 | N/A | Not a PINN paper |
| 35 | N/A | Not a PINN paper |
| 36 | N/A | Not a PINN paper |
| 37 | N/A | Not a PINN paper |
| 38 | N/A | Not a PINN paper |
| 39 | N/A | Not a PINN paper |
| 40 | tanh | Mentioned |
| 41 | N/A | Not a PINN paper |
| 42 | N/A | Not a PINN paper |
| 43 | N/A | Not a PINN paper |
| 44 | N/A | Not a PINN paper |
| 45 | N/A | Not a PINN paper |
| 46 | N/A | PINN mentioned but not implemented |
| 47 | ReLU | Mentioned |
| 48 | N/A | Not a PINN paper |
| 49 | N/A | Not a PINN paper |
| 50 | ReLU | Mentioned |
| 51 | N/A | Not a PINN paper |
| 52 | N/A | Not a PINN paper |
| 53 | N/A | Not a PINN paper |
| 54 | N/A | PINN cited but not implemented |
| 55 | N/A | Not a PINN paper |
| 56 | N/A | Review paper |
| 57 | N/A | Not a PINN paper |
| 58 | N/A | PINN mentioned as future direction, not implemented |
| 59 | N/A | Not a PINN paper |
| 60 | N/A | PINN mentioned as future direction, not implemented |
| 61 | N/A | Not explicitly stated |
| 62 | ReLU, sigmoid, softmax | Mentioned |
| 63 | N/A | PINN cited but not implemented |
| 64 | N/A | PINN mentioned as future direction, not implemented |
| 65 | N/A | PINN cited but not implemented |
| 66 | ReLU | Mentioned |
| 67 | N/A | Review paper |
| 68 | tanh | Mentioned |
| 69 | N/A | Not a PINN paper |
| 70 | tanh | Mentioned |
| 71 | N/A | Not a PINN paper |
| 72 | N/A | PINN cited but not implemented |
| 73 | N/A | PINN cited but not implemented |
| 74 | ReLU | Mentioned |
| 75 | tanh | Mentioned |
| 76 | tanh | Mentioned |
| 77 | tanh | Mentioned |
| 78 | N/A | Not a PINN paper (UPINN method for power flow; no activation function specified) |
| 79 | N/A | Not a PINN paper |
| 80 | N/A | Not explicitly stated |
| 81 | N/A | Not explicitly stated (KAN‑based PINN using B‑splines; activation not specified) |
| 82 | N/A | Not a PINN paper |
| 83 | adaptive Swish | Mentioned |
| 84 | N/A | Review paper |
| 85 | N/A | Review paper |
| 86 | N/A | Not a PINN paper |
| 87 | tanh | Mentioned |
| 88 | N/A | Not a PINN paper |
| 89 | N/A | Not a PINN paper |
| 90 | N/A | Not a PINN paper |
| 91 | N/A | Not a PINN paper |
| 92 | N/A | Not a PINN paper |
| 93 | N/A | Not a PINN paper (physics‑guided model, not a PINN) |
| 94 | N/A | Not a PINN paper |
| 95 | tanh | Mentioned |
| 96 | N/A | Not a PINN paper |
| 97 | N/A | Not a PINN paper |
| 98 | N/A | Review paper (PINNs mentioned as future direction, no implementation) |
| 99 | N/A | Not a PINN paper |
| 100 | N/A | Not a PINN paper |
| 101 | N/A | Not a PINN paper |
| 102 | N/A | Not a PINN paper |
| 103 | N/A | Not a PINN paper |
| 104 | ReLU | Mentioned |
| 105 | N/A | Not a PINN paper |
| 106 | N/A | Not a PINN paper |
| 107 | ReLU | Mentioned |
| 108 | N/A | Review paper (PINN mentioned conceptually only) |
| 109 | N/A | Not a PINN paper |
| 110 | ReLU, Softmax | Mentioned |
| 111 | N/A | Not explicitly stated (PINN mentioned in review context) |
| 112 | N/A | Not a PINN paper |
| 113 | N/A | Not a PINN paper |
| 114 | N/A | Not a PINN paper |
| 115 | N/A | Not explicitly stated |
| 116 | ReLU, Sigmoid | Mentioned |
| 117 | tanh | Mentioned |
| 118 | N/A | Not a PINN paper (uses empirical model-informed NN, not PINN) |
| 119 | ReLU, Softmax | Mentioned |
| 120 | N/A | Review paper (PINN mentioned conceptually only) |
| 121 | T-Softplus | Mentioned |
| 122 | N/A | Review paper (PINN mentioned conceptually only) |
| 123 | N/A | Not a PINN paper |
| 124 | N/A | Not a PINN paper |
| 125 | N/A | Not a PINN paper |
| 126 | N/A | Not a PINN paper |
| 127 | N/A | Not a PINN paper |
| 128 | N/A | Not a PINN paper |
| 129 | N/A | Review paper |
| 130 | N/A | Not a PINN paper |
| 131 | N/A | Not a PINN paper |
| 132 | N/A | Review paper |
| 133 | N/A | Not a PINN paper |
| 134 | relu, sigmoid, tanh, leaky_relu, elu, selu | Mentioned for the ANN models used in the PINN framework |
| 135 | N/A | Not a PINN paper |
| 136 | N/A | Not a PINN paper |
| 137 | ReLU | Mentioned |
| 138 | GELU | Mentioned (used instead of ReLU to avoid stiff predictions) |
| 139 | N/A | Not explicitly stated |
| 140 | tanh | Mentioned |
| 141 | N/A | Not a PINN paper |
| 142 | ReLU | Mentioned |
| 143 | tanh, sigmoid | Mentioned (tanh in hidden layers, sigmoid in output layer) |
| 144 | N/A | Not explicitly stated |
| 145 | N/A | Not a PINN paper (physics-inspired, not PINN) |
| 146 | N/A | Not a PINN paper |
| 147 | N/A | Not a PINN paper (quantum neural network) |
| 148 | N/A | Not a PINN paper |
| 149 | N/A | Review paper |
| 150 | N/A | Review paper |
| 151 | N/A | Not a PINN paper |
| 152 | N/A | Not a PINN paper |
| 153 | N/A | Not a PINN paper |
| 154 | swish | Mentioned |
| 155 | N/A | Not a PINN paper |
| 156 | N/A | Not a PINN paper |
| 157 | N/A | Not explicitly stated |
| 158 | PReLU | Mentioned |
| 159 | softplus, sigmoid, ReLU | Mentioned |
| 160 | Tanh | Mentioned |
| 161 | N/A | Not a PINN paper |
| 162 | tanh, sigmoid | Mentioned |
| 163 | sin, tanh | Mentioned |
| 164 | N/A | Review paper |
| 165 | N/A | Review paper |
| 166 | N/A | Not a PINN paper |
| 167 | N/A | Not a PINN paper |
| 168 | N/A | Review paper |
| 169 | N/A | Not a PINN paper |
| 170 | N/A | Review paper |
| 171 | N/A | Not a PINN paper |
| 172 | tanh | Mentioned |
| 173 | ReLU | Mentioned |
| 174 | tanh, linear | Mentioned |
| 175 | ReLU | Mentioned |
| 176 | ReLU, Leaky-ReLU | Mentioned |
| 177 | tanh, sigmoid | Mentioned |
| 178 | Leaky-ReLU | Mentioned |
| 179 | tanh, ReLU, sigmoid | Mentioned |
| 180 | N/A | Review paper |
| 181 | N/A | Not a PINN paper |
| 182 | leaky ReLU, ReLU, softmax | Mentioned |
| 183 | ReLU | Mentioned |
| 184 | leaky ReLU | Mentioned |
| 185 | LeakyReLU | Mentioned |
| 186 | ReLU | Mentioned |
