Reference_PINN_Abbreviations
| Reference | Abbreviation(s) |
|-----------|-----------------
| 2 | PINN |
| 3 | PINN; B-PINN; cPINN; XPINN; PPINN; VPINN; SA-PINN; DAE-PINN; fPINN; Meta-PINN; GPT-PINN; HWPINN; PIKFN; DMF-TONN; TSO-PINN; NSfNet; LESnets; PI-GAN; PI-VAE; PI-VEGAN; SPI-GeM; VINO; E-PINN; FBPINN; tpPINN; PINN-RANS; PINN-Euler; DD-PINN; BL-PINN; Gated-PINN; HP-VPINN; DO-PINN; CIDER; SympNets; PIKAN |
| 4 | NNSMSM; PINN; VPM |
| 7 | PINN |
| 8 | PI-LSTM; PINN |
| 11 | PINN |
| 13 | PINN; PEMNN; PARL; SIDM |
| 14 | PI-LSTM; PINN; GWO |
| 15 | DFNN |
| 17 | PINN |
| 18 | GSN |
| 22 | PINN; B-PINN; TransformerPINN |
| 23 | PINN |
| 24 | ISPNet; PINN |
| 25 | PINN |
| 26 | MTL-PINN; PINN |
| 27 | PI-MPN; PINN |
| 29 | PINN; VPINN; cPINN; XPINN; FBPINN; PIKAN |
| 30 | PINN |
| 31 | mp-PINN; PINN |
| 32 | Hybrid-PINN; PINN |
| 33 | PINNI; PINN; NNI |
| 35 | PINN |
| 36 | PINN |
| 39 | PINN |
| 40 | PINN |
| 41 | Physics-KAN |
| 42 | PINN |
| 45 | PyMC3 |
| 46 | PMSM; BiLSTM |
| 47 | PINN |
| 50 | PINN |
| 51 | NNSCA; BNNM |
| 55 | ARIMA; SARIMA; PMNN |
| 56 | PINN |
| 58 | PINN |
| 61 | PINN; VS-PINN; KKT-hPINN; AL-PINN; MARL; ST-GCN; CapsGN |
| 62 | PINN |
| 65 | PINN |
| 66 | PINN; iPINN |
| 67 | PINN |
| 68 | PINN; Non-PINN |
| 69 | E-TUNI; UNI; NARMAX; RKNN; ABNN; PCNN; PINN |
| 70 | PINN |
| 72 | PINN; TSPINN; B-PINN |
| 73 | PHM; PINN |
