inventory_row_id	raw_reported_form	paper_ids	occurrence_count	candidate_selected_for_task_4_1b	task4_1b_disposition	verification_state	collision_ids	collision_decision_states	abbreviation_registry_candidate_state	raw_parenthetical_text
AR4D-0421	PiNNACle	744	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0422	PiNNwall	744	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0423	NeuroDiffEq	745	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0424	PhyCRNet	748	1	true	broader_physics_informed_ML_adjacent	needs_primary_source_verification			pinn_related_or_adjacent_abbreviation_candidate	
AR4D-0425	PhyCRNet-s	748	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0426	convolutional-recurrent PINN	748	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0427	PECANN	750	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0428	HNN	752	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0429	TDUN	755	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0430	SSUN	755	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0431	PhiSRL	756,757	2	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0432	BA-PhiSRL	756	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0433	PhiGRL	757	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0434	DB-GreenNet	759	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0435	BI-GreenNet	759	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0436	ABU-PINN	766	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0437	Adaptive Blending Units PINN	766	1	true	training_or_adaptivity_strategy_not_yet_a_type	supported_by_raw_source_supplied_expansion			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0438	AT-PINN	773	1	true	decomposition_or_time_marching_strategy_not_yet_a_type	supported_by_raw_source_supplied_expansion	C021	hard_no_merge	pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0439	Advanced time-marching PINN	773	1	true	decomposition_or_time_marching_strategy_not_yet_a_type	supported_by_raw_source_supplied_expansion			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0440	AW-PINN	774	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification	C021	hard_no_merge	pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0441	Adaptive Weight PINN	774	1	true	training_or_adaptivity_strategy_not_yet_a_type	supported_by_raw_source_supplied_expansion			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0442	Fourier feature PINN	775	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0443	STD-PINN	778	1	true	decomposition_or_time_marching_strategy_not_yet_a_type	supported_by_raw_source_supplied_expansion			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0444	spatiotemporal decomposition PINN	778	1	true	decomposition_or_time_marching_strategy_not_yet_a_type	supported_by_raw_source_supplied_expansion			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0445	PINN-DD	781	1	true	decomposition_or_time_marching_strategy_not_yet_a_type	supported_by_raw_source_supplied_expansion	C023;C026	hard_no_merge;hard_no_merge	pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0446	domain decomposition PINN	781	1	true	decomposition_or_time_marching_strategy_not_yet_a_type	supported_by_raw_source_supplied_expansion			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0447	GAN-PINN	787	1	true	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification	C016	adjacent_concept_non_equivalence	pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0448	CI-PINN	792	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0449	Coupled Integral PINN	792	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0450	PINN-WE	793	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0451	PIANN	794	1	true	broader_physics_informed_ML_adjacent	needs_primary_source_verification			pinn_related_or_adjacent_abbreviation_candidate	
AR4D-0452	attention-based PINN	794	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0453	LSTM-AM	795	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0454	Tr-PINN	796	1	true	architecture_or_backbone_coupled_not_yet_a_type	supported_by_raw_source_supplied_expansion			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0455	Transformer PINN	796	1	true	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0456	PIG-GAN	798	1	true	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification	C016	adjacent_concept_non_equivalence	pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0457	Physics-Informed Generator GAN	798	1	true	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0458	DI-GAN	798	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0459	Dual-Informed GAN	798	1	false	outside_Task_4.1B_retain_for_all_abbreviations_inventory	not_assessed_in_Task_4.1B			general_abbreviation_candidate_unverified	
AR4D-0460	PIDCNN	801	1	true	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification	C018	same_form_homograph	pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0461	deep convolutional PINN	801	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
AR4D-0462	convolutional PINN	802	1	true	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			pinn_type_or_variant_candidate_pending_governed_classification	
