inventory_row_id	raw_reported_form	paper_ids	disposition	verification_state	verified_expansion_if_supported	collision_ids	alias_collision_state	source_local_scope	PINN_type_eligibility	raw_parenthetical_text
PT4D-0068	HCPINN	234	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C019	hard_no_merge	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0069	TD-PINN	238	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0070	STAR-PINN	238	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0071	W-PINNPStomo	241	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0072	FRC-PINNs	244	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0073	DARTS-PINN	247	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0074	HPINN	256,609	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C019	hard_no_merge	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0075	P-PINNs	272	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0076	NLSE-PINN	275	equation_or_application_specific_PINN_name	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_source_specialization_candidate	
PT4D-0077	PINN-SIREN	279	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0078	HCDD-PINN	311	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0079	Δ-PINN	312,495	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	multi_paper_candidate_not_canonical	eligible_unverified_candidate	
PT4D-0080	PI-CNN	316,571	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification		C018	same_form_homograph	paper_scoped_or_unresolved	conditional_method_dimension_candidate	
PT4D-0081	PINN-enhanced PTV/PTV	317	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0082	PICNN	321,577,802	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification		C018	same_form_homograph	paper_scoped_or_unresolved	conditional_method_dimension_candidate	
PT4D-0083	PI-RNN	332	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification		C013	adjacent_concept_non_equivalence	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0084	gPINNs	340	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C024	hard_no_merge	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0085	PI-GNN	342	architecture_or_backbone_coupled_not_yet_a_type	needs_primary_source_verification			none_registered	single_paper_candidate	conditional_method_dimension_candidate	
PT4D-0086	RANS-based PINN	347	equation_or_application_specific_PINN_name	supported_by_raw_source_supplied_expansion		C027	adjacent_concept_non_equivalence	single_paper_candidate	conditional_source_specialization_candidate	
PT4D-0087	HT-PINN	349	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0088	NH-PINN	355,495	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	multi_paper_candidate_not_canonical	eligible_unverified_candidate	
PT4D-0089	CPINN	367,384,707,708	ambiguous_or_homographic_abbreviation	unresolved_collision		C001;C022	hard_no_merge;hard_no_merge	paper_scoped_or_unresolved	conditional_collision_candidate	
PT4D-0090	hp-VPINN	367,384,482,493,495,503	validated_PINN_variant_candidate	verified_from_current_Atlas_meaning_map		C008;C019	orthographic_candidate_unresolved;hard_no_merge	paper_scoped_or_unresolved	eligible_verified_candidate	
PT4D-0091	GatedPINN	367	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C024	hard_no_merge	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0092	PINN (extrinsic)	368	likely_PINN_variant_needs_primary_source_verification	supported_by_raw_source_supplied_expansion			none_registered	single_paper_candidate	eligible_unverified_candidate	extrinsic
PT4D-0093	A-PINN	369	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C021	hard_no_merge	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0094	AutoPINN	383	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0095	PINN-1	392	source_local_or_author_defined_name	needs_primary_source_verification			none_registered	paper_scoped_or_unresolved	conditional_source_local_candidate	
PT4D-0096	PINN-3	392	source_local_or_author_defined_name	needs_primary_source_verification			none_registered	paper_scoped_or_unresolved	conditional_source_local_candidate	
PT4D-0097	Res-PINN	408	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0098	MPINN	420,642,645	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification		C020	case_sensitive_non_equivalence	paper_scoped_or_unresolved	eligible_unverified_candidate	
PT4D-0099	VE-PINN	426	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0100	Mixed-variable PINN	427,630	likely_PINN_variant_needs_primary_source_verification	supported_by_raw_source_supplied_expansion			none_registered	multi_paper_candidate_not_canonical	eligible_unverified_candidate	
PT4D-0101	VcPINN	475	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
PT4D-0102	IcPINN	475	likely_PINN_variant_needs_primary_source_verification	needs_primary_source_verification			none_registered	single_paper_candidate	eligible_unverified_candidate	
